ticker,sector
MSFT,Technology
AAPL,Technology
GOOGL,Technology
CSCO,Technology
TXN,Technology
AVGO,Technology
ORCL,Technology
QCOM,Technology
ACN,Technology
IBM,Technology
MA,Financials
V,Financials
AXP,Financials
BLK,Financials
JPM,Financials
BAC,Financials
CAT,Industrials
DE,Industrials
GE,Industrials
ETN,Industrials
HON,Industrials
PH,Industrials
ROK,Industrials
TDG,Industrials
UNP,Industrials
FDX,Industrials
UPS,Industrials
LLY,Healthcare
NVO,Healthcare
REGN,Healthcare
ISRG,Healthcare
VRTX,Healthcare
MCK,Healthcare
JNJ,Healthcare
ABT,Healthcare
BDX,Healthcare
TMO,Healthcare
DHR,Healthcare
SYK,Healthcare
MCD,Consumer
SBUX,Consumer
NKE,Consumer
HD,Consumer
LOW,Consumer
TJX,Consumer
BKNG,Consumer
CMG,Consumer
ORLY,Consumer
MAR,Consumer
CPRT,Consumer
PCAR,Materials_Utilities_Other
WM,Materials_Utilities_Other
RSG,Materials_Utilities_Other
PG,Materials_Utilities_Other
KO,Materials_Utilities_Other
PEP,Materials_Utilities_Other
CL,Materials_Utilities_Other
KMB,Materials_Utilities_Other
GIS,Materials_Utilities_Other
HSY,Materials_Utilities_Other
MDLZ,Materials_Utilities_Other
COST,Materials_Utilities_Other
LMT,Materials_Utilities_Other
BRK.B,Materials_Utilities_Other
SPGI,Materials_Utilities_Other
ICE,Materials_Utilities_Other
AON,Materials_Utilities_Other
MMC,Materials_Utilities_Other
AJG,Materials_Utilities_Other
SO,Materials_Utilities_Other
DUK,Materials_Utilities_Other
NEE,Materials_Utilities_Other
AWK,Materials_Utilities_Other
