code,name,mktcap_usd,pe_ttm,pb,div_yield_pct,rsi14
US.CMWAY,COMMONWEALTH BANK OF AUSTRALIA SPON ADR EACH REPR 1 ORD,186767859128.8,25.18,3.34,2.834,37.82
US.RCRUY,Recruit Holdings (ADR),149325015108.8,57.35,15.02,0.149,74.38
US.UNCRY,UNICREDIT SPA UNSPON ADR EACH REP 0.5 ORD SHS,149767806405.0,11.79,1.86,3.401,65.0
US.EONGY,E.ON SE SPONS ADR EACH REPR 1 ORD NPV,54194116565.6,26.96,2.39,3.092,45.46
US.SGAPY,SINGAPORE TELECOMMUNICATIONS NEW ADR-EACH REPR 10 ORD CDI NPV,58104785245.5,12.12,2.72,3.588,62.09
US.ESLOY,ESSILORLUXOTTICA UNSPON ADR EACH REP 0.5 ORD SHS,85145647104.0,31.94,1.86,2.517,41.09
US.HNHPF,HON HAI PRECISION INDUSTRY SPON GDS EACH REP 2 SHS TWD10 REG'S',107792344477.8,18.38,1.9,2.325,45.67
US.ALIZY,ALLIANZ SE UNSPON ADS EACH REP 1/10 ORD SHARES,199466649393.0,14.58,2.71,3.359,75.32
US.LBLCF,LOBLAWS COMPANIES LIMITED,51595164969.9,26.75,6.47,0.906,43.94
US.MITSY,Mitsui (ADR),86831024496.1,16.78,1.55,1.076,51.64
US.SMMNY,SIEMENS HEALTHINEERS AG UNSPON ADR EACH REP 0.50 ORD SHS,51259313100.8,20.8,2.36,2.449,59.8
US.SSREY,SWISS RE AG SPON ADR EACH REPR 0.25 ORD SHS,51588277550.9,11.25,2.02,4.202,64.86
US.IDEXY,INDITEX (IND.DE DISENO TEXTIL SA) UNSP ADR EACH REP 0.50 ORD,210807414858.2,29.02,8.79,2.919,59.1
US.ENGIY,ENGIE SPON ADR EACH REPR 1 SHARE,73737913850.3,16.49,1.9,5.975,34.98
US.KBCSY,KBC GROEP NV UNSP ADR EA REPR 0.50 ORD SHS,61636436574.2,15.33,1.87,3.108,74.84
US.ITOCY,ITOCHU (ADR),93175536104.4,16.6,2.22,0.9,66.06
US.SDVKY,SANDVIK AB ADR-EACH REPR 1 ORD SEK6,51893945634.5,33.36,4.8,1.513,65.18
US.APP,Applovin,103109319610.0,23.68,32.6,0.0,33.16
US.SONY,Sony,141193797705.0,-106.73,2.69,0.638,62.92
US.HESAY,Hermes International SA,188656258321.0,35.87,8.51,0.879,44.76
US.DASH,DoorDash,102660739302.2,124.05,10.35,0.0,77.06
US.ABNB,Airbnb,112613623213.7,42.94,14.44,0.0,69.59
US.PLTR,Palantir,426542880200.0,151.71,43.64,0.0,64.65
US.SNOW,Snowflake,109307242000.0,-89.59,56.36,0.0,54.66
US.MPNGY,Meituan ADR,61249882534.4,-17.02,2.76,0.0,31.59
US.NWG,NatWest,74464319718.8,9.24,1.25,3.552,55.91
US.LRLCY,L'Oreal SA Unsponsored ADR,240630244190.0,33.82,5.85,1.814,55.95
US.RTX,RTX Corp,285711248946.6,37.32,4.3,1.259,48.93
US.HWM,Howmet Aerospace,107413168806.7,58.05,18.74,0.163,42.07
US.TT,Trane Technologies,101958740221.8,35.08,11.82,0.811,47.55
US.VRT,Vertiv Holdings,101563729919.1,59.69,21.35,0.066,44.45
US.TFC,Truist Financial,61899798946.0,11.65,1.05,4.104,45.43
US.PROSY,Prosus N.V. Sponsored ADR,94549987604.2,7.69,1.71,0.237,47.04
US.BKR,Baker Hughes,61545792402.0,19.94,3.09,1.483,51.62
US.ATLCY,Atlas Copco AB Sponsored ADR Class B,91913214892.3,33.58,6.98,1.735,54.49
US.AIQUY,Air Liquide SA Unsponsored ADR,113224521000.6,27.69,3.67,1.969,49.27
US.AXAHY,AXA SA Sponsored ADR,103805464973.5,9.67,1.87,4.924,47.27
US.XIACY,Xiaomi Corp. Unsponsored ADR Class B,92710003303.4,15.47,2.37,0.0,55.57
US.DDOG,Datadog,81750610714.1,455.34,18.72,0.0,41.84
US.NET,Cloudflare,101443550006.4,-491.19,62.61,0.0,49.27
US.CTVA,Corteva,55297204480.0,54.17,2.2,0.844,57.36
US.CRWD,CrowdStrike,192634290590.4,-6306.0,41.57,0.0,42.21
US.UBER,Uber Technologies,160320543897.3,17.21,5.87,0.0,58.78
US.TAK,Takeda Pharmaceutical,58217557465.9,-55.58,1.23,3.357,63.47
US.DELL,Dell Technologies,300605448385.6,36.96,-214.14,0.452,55.13
US.MRNA,Moderna,59749643147.7,-18.75,8.84,0.0,68.5
US.LIN,Linde,226032403323.8,31.63,5.78,1.223,48.35
US.ET,Energy Transfer,73789910449.4,14.68,2.09,6.136,67.98
US.LVMUY,LVMH Moet Hennessy Louis Vuitton,260403402490.4,20.7,3.28,2.894,44.66
US.MIELY,Mitsubishi Electric (ADR),71901520989.8,28.22,2.52,0.426,45.04
US.NABZY,National Australia Bank Limited Sponsored ADR,83758125600.0,19.11,1.91,4.1,41.9
US.ZURVY,Zurich Insurance Group Ltd Sponsored ADR,110682628329.0,15.7,3.88,4.588,52.61
US.TOELY,Tokyo Electron (ADR),157695660839.8,44.15,11.94,0.456,44.44
US.HTHIY,Hitachi (ADR),150022070481.1,30.06,3.58,0.923,50.98
US.BAESY,BAE Systems plc Sponsored ADR,83533614969.2,30.77,5.21,1.626,48.95
US.VLVLY,Volvo AB Unsponsored ADR Class B,74810702170.4,21.69,3.63,2.364,54.66
US.PDD,PDD Holdings,123465409113.9,9.37,1.85,0.0,47.9
US.BE,Bloom Energy,64268812170.7,283.39,39.87,0.0,49.39
US.EQNR,Equinor,98043754623.8,11.2,2.28,3.534,57.53
US.MUFG,Mitsubishi UFJ Financial Group,252579361169.5,20.4,1.77,0.94,53.54
US.SPOT,Spotify Technology,113077480276.1,29.67,11.57,0.0,64.89
US.WELL,Welltower,174103150363.6,111.32,3.75,1.167,60.05
US.BKNG,Booking Holdings,156955872645.0,23.2,-14.56,0.735,57.39
US.ISNPY,INTESA SANP ADR,139449610864.6,12.74,1.73,5.211,71.17
US.SCGLY,SOCIETE GENERLE,63330536250.0,10.57,0.76,2.282,36.0
US.BNPQY,BNP PARIBAS SPON,135224206816.4,9.95,0.88,7.033,45.68
US.CFRUY,COMPAGNE FIN ADR,138871498364.0,29.09,5.32,1.325,52.05
US.EADSY,AIRBUS SE,188651347875.0,32.49,6.14,0.974,52.02
US.GLNCY,GLENCORE PLC,94660443312.0,269.33,2.44,1.237,64.01
US.RHHBY,ROCHE HOLDING AG,362101498951.4,22.85,8.33,2.714,55.12
US.RYCEY,ROLLS ROYCE ADR,174294868241.1,22.32,47.04,0.681,61.86
US.NSRGY,NESTLE S.A SPONS,255421446000.0,22.78,6.06,3.851,47.98
US.SIEGY,SIEMENS AG,255595301946.6,28.67,3.32,1.829,61.58
US.DBOEY,DEUTSCHE BOERSE AG,60786961103.0,25.52,4.92,1.396,72.66
US.IFNNY,INFINEON TECHNOLOG,83700773036.2,67.37,4.09,0.642,38.23
US.BASFY,BASF SE,53236378063.4,28.56,1.36,4.318,59.06
US.DTEGY,DEUTSCHE TELEKOM,163283256675.0,14.7,2.23,3.125,59.59
US.JAPAY,Japan Tobacco (ADR),77294022094.1,24.14,2.97,3.344,56.09
US.KDDIY,KDDI (ADR),69022331718.3,15.74,2.23,1.329,53.8
US.SFTBY,SoftBank Group (ADR),186240826548.7,9.73,1.87,0.226,43.98
US.BAYRY,BAYER AG,55998172674.0,-13.29,1.83,0.224,57.63
US.NTTYY,Nippon Telegraph & Telephone (ADR),86406750876.5,13.41,1.39,3.09,72.15
US.NTDOY,Nintendo (ADR),64453381783.0,24.2,3.39,0.455,67.75
US.SE,Sea,72959156260.6,45.99,5.65,0.0,55.38
US.WPM,Wheaton Precious Metals,70858038207.4,34.61,7.31,0.423,70.23
US.ARGX,argenx SE,65507615770.3,39.89,7.78,0.0,70.42
US.CVNA,Carvana,81379295791.5,39.13,13.22,0.0,56.16
US.SPGI,S&P Global,128677252000.0,26.57,4.08,0.879,60.37
US.RACE,Ferrari,102829513264.8,39.4,16.84,0.849,54.47
US.AAGIY,AIA GROUP LTD,98260550745.3,16.01,2.27,2.429,48.15
US.ACGBY,AGRICULTURAL BK CH,279496450852.6,6.8,0.59,4.377,63.56
US.CHCJY,CHINA CITIC BK COR,54532259014.8,5.49,0.46,5.26,53.82
US.BACHY,BANK OF CHINA LTD,227095307854.3,6.4,0.51,7.116,65.64
US.CICHY,CHINA CONST BK,307118847834.0,6.07,0.57,4.765,64.75
US.BCMXY,BANK OF COMMUNICAT,78643767960.2,5.75,0.43,8.62,41.24
US.CSUAY,CHINA SHENHUA ENER,124768470833.8,14.94,1.76,8.026,60.29
US.CIHKY,CHINA MERCHANTS BK,159137225736.0,7.43,0.84,4.526,59.05
US.PNGAY,PING AN INSURANCE,133453321510.5,6.83,0.89,4.979,61.05
US.ZIJMY,ZiJin Mining ADR,128153949111.1,14.27,4.35,1.479,61.53
US.BHKLY,BOC HONG KONG HLDG,67533633910.8,13.19,1.47,4.601,51.9
US.BYDDY,BYD Company ADR,106215351632.2,40.17,2.89,1.613,53.87
US.IDCBY,Industrial And Commercial Bank Of China (ADR),342506413053.9,6.4,0.55,4.568,67.79
US.HKXCY,HONG KONG EXCHANGE,67815772625.2,28.27,9.63,2.613,64.2
US.HPE,Hewlett Packard Enterprise,73135760464.8,51.62,2.89,0.941,57.87
US.LITE,Lumentum,84230991000.0,-10.1,18.14,0.0,57.4
US.PYPL,PayPal,52876036621.9,11.68,2.67,0.226,67.95
US.RELX,RELX PLC,61550496371.8,20.87,36.55,2.453,52.66
US.SHOP,Shopify,193369716540.3,101.55,15.25,0.0,59.88
US.KEYS,Keysight Technologies,54814461000.0,44.21,8.34,0.0,45.88
US.BABA,Alibaba,287217365165.6,27.14,1.84,0.911,47.08
US.ANET,Arista Networks,255082685058.0,64.0,17.24,0.0,60.16
US.TCEHY,Tencent,513363469676.9,15.4,0.46,1.044,43.96
US.CCZ,COMCAST HOLDINGS CORPORATION 2% CNV PREF SEC15/10/2029 USD71,62943338777.0,,,0.0,64.56
US.FANG,Diamondback Energy,55959155233.3,38.06,1.48,2.001,50.37
US.MPLX,MPLX LP,60142071449.3,12.76,4.29,6.652,58.26
US.APO,Apollo Global Management,78937904063.5,47.57,4.03,1.49,55.22
US.FNV,Franco-Nevada,51568670579.7,34.95,6.26,0.568,71.7
US.NOW,ServiceNow,130059839600.0,78.62,10.39,0.0,58.43
US.MNST,Monster Beverage,93662264836.8,44.27,10.0,0.0,52.85
US.HCA,HCA Healthcare,92480780740.0,14.32,-13.92,0.674,62.28
US.TMUS,T-Mobile US,192662548410.9,18.79,3.42,2.037,47.83
US.SCCO,Southern Copper,180478462882.5,30.88,14.29,1.389,64.39
US.MPC,Marathon Petroleum,101734386892.0,12.56,5.33,1.029,69.04
US.KMI,Kinder Morgan,71302202889.8,20.66,2.25,3.638,52.85
US.ASML,ASML Holding,670500324000.0,54.39,26.36,0.442,48.83
US.PBR.A,Petroleo Brasileiro SA Petrobras,103238749407.6,4.05,1.11,10.568,52.0
US.IMO,Imperial Oil,63553754605.3,21.31,3.59,1.596,53.04
US.NEE,NextEra Energy,175681084762.0,18.93,3.08,2.69,36.61
US.PBR,Petroleo Brasileiro SA Petrobras,114451946908.8,4.48,1.23,9.532,49.47
US.SMFG,Sumitomo Mitsui Financial,160917409682.3,15.13,1.59,1.105,50.74
US.ABBV,AbbVie,464575134226.5,74.27,-78.27,2.495,60.39
US.BTI,British American Tobacco,123737327497.0,14.53,1.88,5.628,46.91
US.GOOGL,Alphabet-A,4182660000000.0,17.16,6.72,0.242,45.19
US.HSBC,HSBC Holdings,355932976019.4,14.81,1.81,3.183,55.01
US.VRTX,Vertex Pharmaceuticals,138716629096.0,31.87,6.85,0.0,64.97
US.GILD,Gilead Sciences,183624958904.0,-55.88,15.52,2.133,68.26
US.REGN,Regeneron Pharmaceuticals,83886694672.5,20.16,2.65,0.432,65.0
US.PANW,Palo Alto Networks,276537650000.0,295.05,9.99,0.0,43.8
US.DAL,Delta Air Lines,54635321332.4,13.78,2.5,0.812,41.38
US.V,Visa,718029383930.1,32.67,20.41,0.614,70.23
US.ICE,Intercontinental Exchange,90900995335.0,22.84,3.08,1.185,72.97
US.LYG,Lloyds Banking,87477466868.6,13.89,1.37,2.98,50.92
US.MU,Micron Technology,1059822532898.4,21.21,10.52,0.049,51.34
US.NFLX,Netflix,339194526007.0,25.62,11.25,0.0,64.26
US.AMGN,Amgen,238061897081.7,27.35,20.37,2.161,72.24
US.MFC,Manulife Financial,71729349141.1,16.26,2.14,2.965,52.23
US.NDAQ,Nasdaq,55601479192.8,29.0,4.64,1.055,70.15
US.BMY,Bristol-Myers Squibb,138026229305.9,14.88,6.18,3.685,63.5
US.CIEN,Ciena,57191627075.7,134.68,19.77,0.0,49.46
US.GRMN,Garmin,55738239954.7,29.83,6.17,1.193,51.68
US.MPWR,Monolithic Power Systems,64076574840.0,79.55,16.45,0.478,44.74
US.AMD,Advanced Micro Devices,785106221949.1,123.32,11.68,0.0,48.43
US.PFE,Pfizer,161300762568.7,37.24,1.89,6.077,69.65
US.VZ,Verizon,208528167388.4,13.07,2.01,5.449,70.35
US.SRE,Sempra Energy,55764621677.4,24.65,1.71,3.025,44.31
US.SNPS,Synopsys,78571024860.0,71.68,2.52,0.0,51.77
US.C,Citigroup,224038456737.5,14.39,1.16,1.737,48.22
US.IBN,ICICI Bank,108137150202.1,19.23,2.84,0.779,56.31
US.FIX,Comfort Systems USA,56863125422.0,39.77,17.67,0.12,43.07
US.CRM,Salesforce,168402780000.0,23.83,4.92,0.809,62.31
US.ABT,Abbott Laboratories,197436734073.6,36.93,3.86,2.068,66.62
US.ING,ING Groep,102320662000.0,13.21,1.73,3.469,63.7
US.COST,Costco,424018954080.5,48.09,12.65,0.514,51.53
US.GWW,W.W. Grainger,62898126937.4,34.04,15.23,0.661,53.32
US.WDC,Western Digital,169050437822.7,19.31,19.07,0.106,46.62
US.APD,Air Products & Chemicals,68288744629.8,-1460.29,4.92,2.328,56.8
US.MO,Altria,115412700165.1,14.55,-43.25,6.018,53.68
US.FTNT,Fortinet,115589248893.6,55.67,74.52,0.0,51.23
US.PSX,Phillips 66,96654836482.7,13.83,3.07,1.96,71.35
US.NUE,Nucor,57354170892.8,20.18,2.59,0.874,48.46
US.AMX,America Movil SAB de CV,70756898700.0,13.49,2.74,2.455,37.73
US.MCO,Moody's,89110275317.2,32.65,29.46,0.73,68.39
US.ITUB,Itau Unibanco,83876450044.6,9.34,1.98,7.319,45.28
US.TDG,TransDigm,66722082266.5,36.61,-6.8,0.0,43.75
US.BAC,Bank of America,435158730754.0,14.37,1.58,1.735,49.84
US.WMT,Walmart,830345979032.7,37.8,8.45,0.9,34.81
US.BNS,Bank of Nova Scotia,114070299700.0,16.98,2.0,3.294,64.74
US.MA,MasterCard,524265668791.8,32.92,93.44,0.507,72.06
US.TRGP,Targa Resources,63049153104.6,28.11,17.24,1.275,60.07
US.EW,Edwards Lifesciences,52325592000.0,52.78,4.93,0.0,54.0
US.CME,CME Group,101034581317.7,23.83,3.81,1.779,68.3
US.AAPL,Apple,4574545721000.0,35.95,42.55,0.325,51.54
US.UBS,UBS Group,166926181963.5,18.54,1.87,1.65,63.03
US.TD,The Toronto-Dominion Bank,197304450930.0,19.45,2.43,2.509,48.34
US.MSI,Motorola Solutions,80641813016.6,38.4,30.18,0.919,68.62
US.FDX,FedEx,79518899455.6,18.11,2.51,1.726,62.36
US.BSX,Boston Scientific,69809386267.4,19.5,2.8,0.0,47.31
US.SO,Southern,103256579828.2,21.63,2.61,3.275,37.19
US.AMZN,Amazon,2807461696520.2,20.94,5.09,0.0,50.88
US.HDB,HDFC Bank,118888114719.9,16.1,1.39,1.527,42.66
US.GSK,GlaxoSmithKline,103004293190.9,16.05,4.29,3.385,50.17
US.BRK.A,Berkshire Hathaway-A,1080241983306.2,12.69,1.44,0.0,50.66
US.GS,Goldman Sachs,302952203167.7,16.07,2.76,1.345,49.88
US.ACN,Accenture,111048595799.2,14.49,3.48,3.263,60.62
US.AME,AMETEK,56214857028.8,35.85,4.99,0.505,50.23
US.RY,Royal Bank of Canada,287951932435.3,18.7,3.08,2.08,46.53
US.MS,Morgan Stanley,336226831791.4,17.29,3.15,1.798,49.18
US.DUK,Duke Energy,95037900304.8,18.3,1.77,3.462,45.01
US.ECL,Ecolab,81463492031.8,39.01,8.1,0.922,63.71
US.CRH,CRH PLC,64565861792.6,17.15,2.69,1.524,47.36
US.BRK.B,Berkshire Hathaway-B,1080865967390.5,12.7,1.45,0.0,50.68
US.HD,Home Depot,334076371266.1,23.43,20.11,2.747,45.49
US.LRCX,Lam Research,391513314480.0,54.32,31.39,0.332,48.2
US.CL,Colgate-Palmolive,73387730637.7,36.24,311.01,2.237,51.52
US.ETR,Entergy,50036895530.5,27.42,2.74,2.275,46.55
US.HLT,Hilton Worldwide,74847586469.6,48.83,-11.88,0.18,56.54
US.USB,U.S. Bancorp,97845630808.8,12.53,1.61,3.248,47.53
US.SCHW,Charles Schwab,189172033754.5,19.93,4.31,0.987,55.99
US.CM,Canadian Imperial Bank of Commerce,107893039666.8,16.27,2.57,2.342,49.75
US.RSG,Republic Services,68034399452.0,31.47,5.65,1.084,60.86
US.ADSK,Autodesk,53756470000.0,37.19,16.86,0.0,61.55
US.BMO,Bank of Montreal,121102033425.1,19.55,1.97,2.658,39.85
US.PG,Procter & Gamble,337042793700.0,21.9,6.32,2.937,48.49
US.LLY,Eli Lilly and Co,1119659506681.6,39.93,33.05,0.504,47.85
US.OKE,ONEOK Inc,59822081398.3,16.39,2.61,4.341,58.64
US.JNJ,Johnson & Johnson,650672621190.0,31.32,7.66,1.903,60.6
US.CVS,CVS Health,120632485204.1,24.89,1.51,2.82,40.63
US.D,Dominion Resources,58849081247.6,23.31,2.11,3.99,38.86
US.STX,Seagate Technology,191825120699.7,60.89,88.52,0.347,48.78
US.JPM,JPMorgan,947643378517.5,15.27,2.68,1.626,54.27
US.AON,Aon PLC,75088161127.3,19.51,7.82,0.822,49.63
US.VALE,Vale SA,64517363790.3,30.32,1.7,7.704,62.86
US.EPD,Enterprise Products,84521936394.7,13.54,2.79,5.518,61.5
US.INTU,Intuit,94610977560.0,21.01,4.98,1.387,55.29
US.SHW,Sherwin-Williams,84640056927.7,32.16,21.96,0.906,50.95
US.PSA,Public Storage,59267498042.8,30.28,12.24,3.781,42.52
US.GE,GE Aerospace,367701778982.1,42.24,20.85,0.406,47.84
US.NVS,Novartis AG,299438615893.6,23.8,7.21,2.535,53.66
US.COF,Capital One Financial,133255041227.6,11.53,1.17,1.196,53.6
US.ALL,Allstate,66200739889.5,5.24,2.09,1.527,53.78
US.QCOM,Qualcomm,171906000000.0,18.71,6.22,2.125,47.96
US.NKE,Nike,57248214948.8,18.38,3.85,4.223,37.16
US.UPS,United Parcel Service,89885074138.3,19.64,5.97,6.209,52.92
US.T,AT&T,177271216765.5,8.57,1.61,4.29,72.24
US.ENB,Enbridge,110012387088.3,26.88,2.61,5.453,42.8
US.O,Realty Income,58911534734.6,45.45,1.49,5.176,44.02
US.IBM,IBM Corp,216568432229.3,20.36,6.29,2.919,45.77
US.KO,Coca-Cola,387573635809.4,27.05,10.72,2.264,61.32
US.AZN,AstraZeneca,257865788949.3,24.89,5.13,1.884,51.58
US.BDX,Becton Dickinson & Co,51810617334.2,57.47,2.12,2.187,73.66
US.KLAC,KLA Corp,240182495118.9,50.23,37.83,0.435,40.51
US.ADP,Automatic Data Processing,111785761564.4,25.72,18.53,2.359,64.72
US.MET,MetLife,61336232994.0,18.49,2.24,2.329,56.1
US.WFC,Wells Fargo & Co,257735463407.3,12.39,1.56,1.994,46.63
US.AJG,Arthur J. Gallagher,67927189000.0,43.95,2.86,0.981,60.05
