ticker,date
msft,2026-07-29
msft,2026-04-29
msft,2026-01-28
msft,2025-10-29
msft,2025-07-30
msft,2025-04-30
msft,2025-01-29
msft,2024-10-30
msft,2024-07-30
msft,2024-04-25
msft,2024-01-30
msft,2023-10-24
msft,2023-07-25
msft,2023-04-25
msft,2023-01-24
msft,2022-10-25
msft,2022-07-26
msft,2022-04-26
msft,2022-01-25
msft,2021-10-26
aapl,2026-07-30
aapl,2026-04-30
aapl,2026-01-29
aapl,2025-10-30
aapl,2025-07-31
aapl,2025-05-01
aapl,2025-01-30
aapl,2024-10-31
aapl,2024-08-01
aapl,2024-05-02
aapl,2024-02-01
aapl,2023-11-02
aapl,2023-08-03
aapl,2023-05-04
aapl,2023-02-02
aapl,2022-10-27
aapl,2022-07-28
aapl,2022-04-28
aapl,2022-01-27
aapl,2021-10-28
googl,2026-07-22
googl,2026-04-29
googl,2026-02-04
googl,2025-10-29
googl,2025-07-23
googl,2025-04-24
googl,2025-02-04
googl,2024-10-29
googl,2024-07-23
googl,2024-04-25
googl,2024-01-30
googl,2023-10-24
googl,2023-07-25
googl,2023-04-25
googl,2023-02-02
googl,2022-10-25
googl,2022-07-26
googl,2022-04-26
googl,2022-02-01
googl,2021-10-26
csco,2026-08-12
csco,2026-05-13
csco,2026-02-11
csco,2025-11-12
csco,2025-08-13
csco,2025-05-14
csco,2025-02-12
csco,2024-11-13
csco,2024-08-14
csco,2024-05-15
csco,2024-02-14
csco,2023-11-15
csco,2023-08-16
csco,2023-05-17
csco,2023-02-15
csco,2022-11-16
csco,2022-08-17
csco,2022-05-18
csco,2022-02-16
csco,2021-11-17
txn,2026-07-22
txn,2026-04-22
txn,2026-01-27
txn,2025-10-21
txn,2025-07-22
txn,2025-04-23
txn,2025-01-23
txn,2024-10-22
txn,2024-07-23
txn,2024-04-23
txn,2024-01-23
txn,2023-07-25
txn,2023-04-25
txn,2023-01-24
txn,2022-10-25
txn,2022-07-26
txn,2022-04-26
txn,2022-01-25
txn,2021-10-26
txn,2021-07-21
avgo,2026-09-02
avgo,2026-06-03
avgo,2026-03-04
avgo,2025-12-11
avgo,2025-09-04
avgo,2025-06-05
avgo,2025-03-06
avgo,2024-12-12
avgo,2024-09-05
avgo,2024-06-12
avgo,2024-03-07
avgo,2023-12-07
avgo,2023-08-31
avgo,2023-06-01
avgo,2023-03-02
avgo,2022-12-08
avgo,2022-09-01
avgo,2022-06-02
avgo,2022-03-03
avgo,2021-12-09
orcl,2026-09-10
orcl,2026-06-10
orcl,2026-03-10
orcl,2025-12-10
orcl,2025-09-09
orcl,2025-06-11
orcl,2025-03-10
orcl,2024-12-09
orcl,2024-09-09
orcl,2024-06-11
orcl,2024-03-11
orcl,2023-12-11
orcl,2023-09-11
orcl,2023-06-12
orcl,2023-03-09
orcl,2022-12-12
orcl,2022-09-12
orcl,2022-06-13
orcl,2022-03-10
orcl,2021-12-09
qcom,2026-07-29
qcom,2026-04-29
qcom,2026-02-04
qcom,2025-11-05
qcom,2025-07-30
qcom,2025-04-30
qcom,2025-02-05
qcom,2024-11-06
qcom,2024-07-31
qcom,2024-05-01
qcom,2024-01-31
qcom,2023-11-01
qcom,2023-08-02
qcom,2023-05-03
qcom,2023-02-02
qcom,2022-11-02
qcom,2022-07-27
qcom,2022-04-27
qcom,2022-02-02
qcom,2021-11-03
acn,2026-10-01
acn,2026-06-18
acn,2026-03-19
acn,2025-12-18
acn,2025-09-25
acn,2025-06-20
acn,2025-03-20
acn,2024-12-19
acn,2024-09-26
acn,2024-06-20
acn,2024-03-21
acn,2023-12-19
acn,2023-09-28
acn,2023-06-22
acn,2023-03-23
acn,2022-12-16
acn,2022-09-22
acn,2022-06-23
acn,2022-03-17
acn,2021-12-16
ibm,2026-10-21
ibm,2026-07-22
ibm,2026-04-22
ibm,2026-01-28
ibm,2025-10-22
ibm,2025-07-23
ibm,2025-04-23
ibm,2025-01-29
ibm,2024-10-23
ibm,2024-07-24
ibm,2024-04-24
ibm,2024-01-24
ibm,2023-10-25
ibm,2023-07-19
ibm,2023-04-19
ibm,2023-01-25
ibm,2022-10-19
ibm,2022-07-18
ibm,2022-04-19
ibm,2022-01-24
ma,2026-07-30
ma,2026-04-30
ma,2026-01-29
ma,2025-10-30
ma,2025-07-31
ma,2025-05-01
ma,2025-01-30
ma,2024-10-31
ma,2024-07-31
ma,2024-05-01
ma,2024-01-31
ma,2023-10-26
ma,2023-07-27
ma,2023-04-27
ma,2023-01-26
ma,2022-10-27
ma,2022-07-28
ma,2022-04-28
ma,2022-01-27
ma,2021-10-28
v,2026-07-28
v,2026-04-28
v,2026-01-29
v,2025-10-28
v,2025-07-29
v,2025-04-29
v,2025-01-30
v,2024-10-29
v,2024-07-23
v,2024-04-23
v,2024-01-25
v,2023-10-24
axp,2026-07-24
axp,2026-04-23
axp,2026-01-30
axp,2025-10-17
axp,2025-07-18
axp,2025-04-17
axp,2025-01-24
axp,2024-10-18
axp,2024-07-19
axp,2024-04-19
axp,2024-01-26
axp,2023-10-20
axp,2023-07-21
axp,2023-04-20
axp,2022-10-21
axp,2022-07-22
axp,2022-01-25
axp,2021-10-22
axp,2021-07-23
axp,2021-04-23
blk,2026-07-15
blk,2026-04-14
blk,2026-01-15
blk,2025-10-14
blk,2025-07-15
blk,2025-04-11
blk,2025-01-15
blk,2024-10-11
blk,2024-07-15
blk,2024-04-12
blk,2024-01-12
blk,2023-10-13
blk,2023-07-14
blk,2023-04-14
blk,2023-01-13
blk,2022-10-13
blk,2022-07-15
blk,2022-04-13
blk,2022-01-14
blk,2021-10-13
jpm,2026-10-13
jpm,2026-07-14
jpm,2026-04-14
jpm,2026-01-13
jpm,2025-10-14
jpm,2025-07-15
jpm,2025-04-11
jpm,2025-01-15
jpm,2024-10-11
jpm,2024-07-12
jpm,2024-04-12
jpm,2024-01-12
jpm,2023-10-13
jpm,2023-07-14
jpm,2023-04-14
jpm,2023-01-13
jpm,2022-10-14
jpm,2022-07-14
jpm,2022-04-13
jpm,2022-01-14
bac,2026-10-14
bac,2026-07-14
bac,2026-04-15
bac,2026-01-14
bac,2025-10-15
bac,2025-07-16
bac,2025-04-15
bac,2025-01-16
bac,2024-10-15
bac,2024-07-16
bac,2024-04-16
bac,2024-01-12
bac,2023-10-17
bac,2023-07-18
bac,2023-04-18
bac,2023-01-13
bac,2022-10-17
bac,2022-07-18
bac,2022-04-18
bac,2022-01-19
cat,2026-08-04
cat,2026-04-30
cat,2026-01-29
cat,2025-10-29
cat,2025-08-05
cat,2025-04-30
cat,2025-01-30
cat,2024-10-30
cat,2024-08-06
cat,2024-04-25
cat,2024-02-05
cat,2023-10-31
cat,2023-08-01
cat,2023-04-27
cat,2023-01-31
cat,2022-10-27
cat,2022-08-02
cat,2022-04-28
cat,2022-01-28
cat,2021-10-28
de,2026-08-20
de,2026-05-21
de,2026-02-19
de,2025-11-26
de,2025-08-14
de,2025-05-15
de,2025-02-13
de,2024-11-21
de,2024-08-15
de,2024-05-16
de,2024-02-15
de,2023-11-22
de,2023-08-18
de,2023-05-19
de,2023-02-17
de,2022-11-23
de,2022-08-19
de,2022-05-20
de,2022-02-18
de,2021-11-24
ge,2026-07-16
ge,2026-04-21
ge,2026-01-22
ge,2025-10-21
ge,2025-07-17
ge,2025-04-22
ge,2025-01-23
ge,2024-10-22
ge,2024-07-23
ge,2024-04-23
ge,2024-01-23
ge,2023-10-24
ge,2023-07-25
ge,2023-04-25
ge,2023-01-24
ge,2022-10-25
ge,2022-07-26
ge,2022-04-26
ge,2022-01-25
ge,2021-10-26
etn,2026-07-31
etn,2026-05-05
etn,2026-02-03
etn,2025-11-04
etn,2025-08-05
etn,2025-05-02
etn,2025-01-31
etn,2024-10-31
etn,2024-08-01
etn,2024-04-30
etn,2024-02-01
etn,2023-10-31
etn,2023-08-01
etn,2023-05-02
etn,2023-02-08
etn,2022-11-01
etn,2022-08-02
etn,2022-05-03
etn,2022-02-04
etn,2021-11-02
hon,2026-07-23
hon,2026-04-23
hon,2026-01-29
hon,2025-10-23
hon,2025-07-24
hon,2025-02-06
hon,2024-10-24
hon,2024-07-25
hon,2024-04-25
hon,2024-02-01
hon,2023-10-26
hon,2023-07-27
hon,2023-04-27
hon,2023-02-02
hon,2022-10-27
hon,2022-07-28
hon,2022-04-29
hon,2022-02-03
hon,2021-10-22
hon,2021-07-23
ph,2026-08-06
ph,2026-04-30
ph,2026-01-29
ph,2025-11-06
ph,2025-08-07
ph,2025-05-01
ph,2025-01-30
ph,2024-10-31
ph,2024-08-08
